#=====================================================
# iance$|noun|iant$|adj|2013|ORG_RULE|CHILD
# Total count: 34
#=====================================================
haptenisation|noun|E0568516|haptenize|verb|E0568515|yes
sectorisation|noun|E0514070|sectorize|verb|E0538641|yes
colorisation|noun|E0318297|colorize|verb|E0318298|yes
anastomisation|noun|E0568784|anastomize|verb|E0568783|yes
manualisation|noun|E0579348|manualize|verb|E0579347|yes
mortalisation|noun|E0538991|mortalize|verb|E0538990|yes
concretisation|noun|E0235795|concretize|verb|E0235794|yes
topicalisation|noun|E0729217|topicalize|verb|E0729216|yes
atomisation|noun|E0011020|atomize|verb|E0011021|yes
anonymisation|noun|E0232090|anonymize|verb|E0332524|yes
initialisation|noun|E0416012|initialize|verb|E0416011|yes
reparameterisation|noun|E0568607|reparameterize|verb|E0568606|yes
conceptualisation|noun|E0018290|conceptualize|verb|E0018291|yes
allegorisation|noun|E0539016|allegorize|verb|E0539015|yes
destigmatisation|noun|E0231977|destigmatize|verb|E0231976|yes
optimalisation|noun|E0235792|optimalize|verb|E0235791|yes
fractionisation|noun|E0539425|fractionize|verb|E0539423|yes
essentialisation|noun|E0231974|essentialize|verb|E0231973|yes
modernisation|noun|E0040655|modernize|verb|E0040656|yes
re-sensitisation|noun|E0338484|re-sensitize|verb|E0338485|yes
rematerialisation|noun|E0363286|rematerialize|verb|E0363287|yes
supercolonisation|noun|E0617589|supercolonize|verb|E0734885|yes
fetishisation|noun|E0585824|fetishize|verb|E0538683|yes
potentisation|noun|E0226792|potentize|verb|E0226791|yes
ionisation|noun|E0035813|ionize|verb|E0035815|yes
reperitonealisation|noun|E0338496|reperitonealize|verb|E0338497|yes
secularisation|noun|E0054975|secularize|verb|E0054976|yes
prefamiliarisation|noun|E0622033|prefamiliarize|verb|E0622034|yes
phonologisation|noun|E0538984|phonologize|verb|E0538983|yes
subfunctionalisation|noun|E0610865|subfunctionalize|verb|E0610866|yes
nodulisation|noun|E0349750|nodulize|verb|E0349749|yes
universalisation|noun|E0063253|universalize|verb|E0063254|yes
racemisation|noun|E0051720|racemize|verb|E0051721|yes
Indianisation|noun|E0585626|Indianize|verb|E0585627|yes
back-isomerisation|noun|E0740505|back-isomerize|verb|E0740506|yes
reenergisation|noun|E0363141|reenergize|verb|E0363142|yes
lyonisation|noun|E0237675|lyonize|verb|E0237676|yes
self-actualisation|noun|E0227999|self-actualize|verb|E0227998|yes
pseudorandomisation|noun|E0551661|pseudorandomize|verb|E0551660|yes
solemnisation|noun|E0056635|solemnize|verb|E0056636|yes
overutilisation|noun|E0222803|overutilize|verb|E0222804|yes
ovariectomisation|noun|E0585874|ovariectomize|verb|E0044610|yes
keratinisation|noun|E0036431|keratinize|verb|E0036432|yes
phagocytisation|noun|E0588385|phagocytize|verb|E0047089|yes
colonisation|noun|E0017889|colonize|verb|E0017890|yes
epithelisation|noun|E0330026|epithelize|verb|E0330025|yes
cyclo-aromatisation|noun|E0656817|cyclo-aromatize|verb|E0731655|yes
cyclicisation|noun|E0540264|cyclicize|verb|E0540263|yes
deindustrialisation|noun|E0540688|deindustrialize|verb|E0540689|yes
vascularisation|noun|E0064066|vascularize|verb|E0064067|yes
deglamorisation|noun|E0586343|deglamorize|verb|E0586342|yes
undermineralisation|noun|E0574241|undermineralize|verb|E0734485|yes
tubularisation|noun|E0331782|tubularize|verb|E0331784|yes
desocialisation|noun|E0538911|desocialize|verb|E0538910|yes
contextualisation|noun|E0225608|contextualize|verb|E0225607|yes
immuno-localisation|noun|E0417570|immuno-localize|verb|E0417571|yes
sub-organisation|noun|E0611144|sub-organize|verb|E0611145|yes
romanisation|noun|E0586340|romanize|verb|E0586341|yes
desterilisation|noun|E0586334|desterilize|verb|E0586335|yes
marginalisation|noun|E0231993|marginalize|verb|E0231992|yes
hyposensitisation|noun|E0067365|hyposensitize|verb|E0067366|yes
fractionalisation|noun|E0539002|fractionalize|verb|E0539001|yes
stigmatisation|noun|E0057935|stigmatize|verb|E0057936|yes
heparinisation|noun|E0031292|heparinize|verb|E0031293|yes
musicalisation|noun|E0360810|musicalize|verb|E0360811|yes
denicotinisation|noun|E0231979|denicotinize|verb|E0231978|yes
re-arterialisation|noun|E0338568|re-arterialize|verb|E0338567|yes
internalisation|noun|E0035142|internalize|verb|E0035143|yes
desymmetrisation|noun|E0613743|desymmetrize|verb|E0613742|yes
aromatisation|noun|E0318089|aromatize|verb|E0417574|yes
demythologisation|noun|E0538176|demythologize|verb|E0538175|yes
demyelinisation|noun|E0442502|demyelinize|verb|E0574238|yes
pre-embolisation|noun|E0737126|pre-embolize|verb|E0737127|yes
dehepatisation|noun|E0540320|dehepatize|verb|E0540319|yes
horizontalisation|noun|E0585574|horizontalize|verb|E0585573|yes
pre-solubilisation|noun|E0619037|pre-solubilize|verb|E0619038|yes
peroxidisation|noun|E0232108|peroxidize|verb|E0046896|yes
destablisation|noun|E0425882|destablize|verb|E0425883|yes
nephrectomisation|noun|E0588359|nephrectomize|verb|E0042213|yes
devocalisation|noun|E0538547|devocalize|verb|E0538546|yes
preconisation|noun|E0585822|preconize|verb|E0232038|yes
undervirilisation|noun|E0224268|undervirilize|verb|E0734486|yes
desensibilisation|noun|E0574016|desensibilize|verb|E0574017|yes
porcelainisation|noun|E0540177|porcelainize|verb|E0540175|yes
colocalisation|noun|E0417577|colocalize|verb|E0219638|yes
oxygenisation|noun|E0585640|oxygenize|verb|E0044888|yes
impersonalisation|noun|E0318317|impersonalize|verb|E0318318|yes
polysensitisation|noun|E0514076|polysensitize|verb|E0537846|yes
retubularisation|noun|E0605263|retubularize|verb|E0605261|yes
informalisation|noun|E0585579|informalize|verb|E0585580|yes
decellularisation|noun|E0503775|decellularize|verb|E0503774|yes
prepressurisation|noun|E0621887|prepressurize|verb|E0621888|yes
chaptalisation|noun|E0585877|chaptalize|verb|E0585878|yes
potentialisation|noun|E0227671|potentialize|verb|E0227672|yes
re-sterilisation|noun|E0514078|re-sterilize|verb|E0514079|yes
winterisation|noun|E0538883|winterize|verb|E0538882|yes
hospitalisation|noun|E0032054|hospitalize|verb|E0032055|yes
cauterisation|noun|E0015659|cauterize|verb|E0015660|yes
prepolymerisation|noun|E0609977|prepolymerize|verb|E0609978|yes
generalisation|noun|E0029525|generalize|verb|E0029526|yes
pulverisation|noun|E0051159|pulverize|verb|E0051160|yes
pre-cyclisation|noun|E0619285|pre-cyclize|verb|E0619286|yes
theorisation|noun|E0555598|theorize|verb|E0060534|yes
misutilisation|noun|E0605952|misutilize|verb|E0605953|yes
syphilisation|noun|E0540285|syphilize|verb|E0540284|yes
haploidisation|noun|E0318314|haploidize|verb|E0318315|yes
itemisation|noun|E0563115|itemize|verb|E0036112|yes
pre-localisation|noun|E0049705|pre-localize|verb|E0588490|yes
postpolymerisation|noun|E0612938|postpolymerize|verb|E0614136|yes
structuralisation|noun|E0318041|structuralize|verb|E0437758|yes
anti-plasticisation|noun|E0614101|anti-plasticize|verb|E0614102|yes
ideologisation|noun|E0585926|ideologize|verb|E0585925|yes
sublocalisation|noun|E0338160|sublocalize|verb|E0338159|yes
pre-catheterisation|noun|E0727743|pre-catheterize|verb|E0727744|yes
fossilisation|noun|E0028656|fossilize|verb|E0028657|yes
sulfatisation|noun|E0540293|sulfatize|verb|E0540292|yes
preembolisation|noun|E0737126|preembolize|verb|E0737127|yes
digitalisation|noun|E0318166|digitalize|verb|E0022715|yes
derivitisation|noun|E0333580|derivitize|verb|E0021906|yes
peritonealisation|noun|E0232107|peritonealize|verb|E0046779|yes
detubularisation|noun|E0226788|detubularize|verb|E0226787|yes
re-internalisation|noun|E0338466|re-internalize|verb|E0338467|yes
desynchronisation|noun|E0218397|desynchronize|verb|E0415856|yes
cross immunisation|noun|E0588625|cross immunize|verb|E0588626|yes
hydrogenisation|noun|E0585620|hydrogenize|verb|E0032399|yes
Italianisation|noun|E0538999|Italianize|verb|E0538998|yes
emmetropisation|noun|E0514068|emmetropize|verb|E0514069|yes
caramelisation|noun|E0538468|caramelize|verb|E0538467|yes
criminalisation|noun|E0019752|criminalize|verb|E0019753|yes
peritonisation|noun|E0046795|peritonize|verb|E0046796|yes
thermosensitisation|noun|E0315117|thermosensitize|verb|E0312632|yes
ghettoisation|noun|E0538663|ghettoize|verb|E0538662|yes
cranialisation|noun|E0574010|cranialize|verb|E0574011|yes
sensibilisation|noun|E0055220|sensibilize|verb|E0312539|yes
pseudo-stabilisation|noun|E0620808|pseudo-stabilize|verb|E0726473|yes
abnormalisation|noun|E0538881|abnormalize|verb|E0538880|yes
brutalisation|noun|E0014249|brutalize|verb|E0014250|yes
diagonalisation|noun|E0538872|diagonalize|verb|E0538871|yes
pre-immunisation|noun|E0312230|pre-immunize|verb|E0312229|yes
carbolisation|noun|E0586328|carbolize|verb|E0015156|yes
specialisation|noun|E0056934|specialize|verb|E0056935|yes
chemo-sensitisation|noun|E0333128|chemo-sensitize|verb|E0333129|yes
tunnelisation|noun|E0574229|tunnelize|verb|E0574230|yes
predimerisation|noun|E0619324|predimerize|verb|E0724798|yes
vocalisation|noun|E0064832|vocalize|verb|E0064833|yes
cross sensitisation|noun|E0576752|cross sensitize|verb|E0576753|yes
hemoglobinisation|noun|E0528280|hemoglobinize|verb|E0528278|yes
ozonisation|noun|E0044943|ozonize|verb|E0044944|yes
predesensitisation|noun|E0614749|predesensitize|verb|E0614748|yes
re-visualisation|noun|E0363460|re-visualize|verb|E0363461|yes
deserosalisation|noun|E0726918|deserosalize|verb|E0726917|yes
segmentalisation|noun|E0538874|segmentalize|verb|E0538873|yes
quinonisation|noun|E0585629|quinonize|verb|E0716483|yes
metastasisation|noun|E0039865|metastasize|verb|E0039866|yes
hyperimmunisation|noun|E0032698|hyperimmunize|verb|E0032699|yes
materialisation|noun|E0039066|materialize|verb|E0039067|yes
neurotisation|noun|E0067729|neurotize|verb|E0568693|yes
de-epithelialisation|noun|E0425567|de-epithelialize|verb|E0333517|yes
magnetisation|noun|E0038579|magnetize|verb|E0038580|yes
re-localisation|noun|E0338458|re-localize|verb|E0338459|yes
microcomputerisation|noun|E0416090|microcomputerize|verb|E0416089|yes
actualisation|noun|E0417738|actualize|verb|E0417739|yes
recanalisation|noun|E0206799|recanalize|verb|E0312318|yes
weaponisation|noun|E0547185|weaponize|verb|E0547184|yes
spheroidisation|noun|E0539522|spheroidize|verb|E0539521|yes
melanisation|noun|E0218407|melanize|verb|E0416078|yes
hierarchisation|noun|E0538651|hierarchize|verb|E0538649|yes
detribalisation|noun|E0573502|detribalize|verb|E0573500|yes
typologisation|noun|E0585727|typologize|verb|E0579328|yes
re-conceptualisation|noun|E0363076|re-conceptualize|verb|E0312333|yes
diagrammatisation|noun|E0538909|diagrammatize|verb|E0538908|yes
impermeabilisation|noun|E0226918|impermeabilize|verb|E0226917|yes
demonisation|noun|E0359475|demonize|verb|E0359474|yes
sub-neutralisation|noun|E0726868|sub-neutralize|verb|E0726867|yes
penalisation|noun|E0046220|penalize|verb|E0046221|yes
bitumenisation|noun|E0586825|bitumenize|verb|E0586824|yes
glottalisation|noun|E0540228|glottalize|verb|E0540227|yes
electro-polymerisation|noun|E0568531|electro-polymerize|verb|E0568530|yes
nebulisation|noun|E0042049|nebulize|verb|E0042050|yes
volcanisation|noun|E0540194|volcanize|verb|E0539407|yes
finalisation|noun|E0318310|finalize|verb|E0027936|yes
co-immunisation|noun|E0511192|co-immunize|verb|E0511193|yes
isosensitisation|noun|E0535088|isosensitize|verb|E0535089|yes
phalangisation|noun|E0047104|phalangize|verb|E0047105|yes
apodisation|noun|E0232092|apodize|verb|E0332588|yes
spheronisation|noun|E0525501|spheronize|verb|E0525502|yes
axenisation|noun|E0332731|axenize|verb|E0332732|yes
schematisation|noun|E0232013|schematize|verb|E0232012|yes
Bowdlerisation|noun|E0585630|Bowdlerize|verb|E0013858|yes
federalisation|noun|E0318308|federalize|verb|E0318309|yes
epoxidisation|noun|E0415920|epoxidize|verb|E0415919|yes
hygienisation|noun|E0032571|hygienize|verb|E0595952|yes
departmentalisation|noun|E0318099|departmentalize|verb|E0318100|yes
colonialisation|noun|E0572592|colonialize|verb|E0572593|yes
activisation|noun|E0232064|activize|verb|E0232063|yes
re-mineralisation|noun|E0052678|re-mineralize|verb|E0052679|yes
systemisation|noun|E0232034|systemize|verb|E0232033|yes
demetalisation|noun|E0021471|demetalize|verb|E0021472|yes
systematisation|noun|E0059716|systematize|verb|E0059717|yes
pre-pressurisation|noun|E0621887|pre-pressurize|verb|E0621888|yes
rearterialisation|noun|E0338568|rearterialize|verb|E0338567|yes
feminisation|noun|E0027566|feminize|verb|E0415931|yes
decolourisation|noun|E0021066|decolourize|verb|E0021067|yes
industrialisation|noun|E0034264|industrialize|verb|E0034265|yes
iso-immunisation|noun|E0067443|iso-immunize|verb|E0416030|yes
modularisation|noun|E0230896|modularize|verb|E0570396|yes
photooxidisation|noun|E0232109|photooxidize|verb|E0312153|yes
overspecialisation|noun|E0222788|overspecialize|verb|E0222789|yes
uniformisation|noun|E0538927|uniformize|verb|E0538926|yes
temporalisation|noun|E0585960|temporalize|verb|E0359320|yes
decapsulisation|noun|E0734015|decapsulize|verb|E0734016|yes
dispensarisation|noun|E0417764|dispensarize|verb|E0417765|yes
italicisation|noun|E0585896|italicize|verb|E0036103|yes
skeletisation|noun|E0535090|skeletize|verb|E0535091|yes
tranquilisation|noun|E0061684|tranquilize|verb|E0061685|yes
proximalisation|noun|E0235786|proximalize|verb|E0235785|yes
derivatisation|noun|E0333580|derivatize|verb|E0021906|yes
minimalisation|noun|E0232021|minimalize|verb|E0232020|yes
syntonisation|noun|E0538938|syntonize|verb|E0538937|yes
posteriorisation|noun|E0513008|posteriorize|verb|E0513009|yes
memorisation|noun|E0039466|memorize|verb|E0039467|yes
pre-authorisation|noun|E0536356|pre-authorize|verb|E0536357|yes
crosshybridisation|noun|E0235799|crosshybridize|verb|E0235798|yes
neofunctionalisation|noun|E0726161|neofunctionalize|verb|E0726162|yes
overfertilisation|noun|E0222722|overfertilize|verb|E0222723|yes
deendothelisation|noun|E0568700|deendothelize|verb|E0568699|yes
pauperisation|noun|E0046027|pauperize|verb|E0046028|yes
deinstitutionalisation|noun|E0021330|deinstitutionalize|verb|E0021331|yes
decidualisation|noun|E0417689|decidualize|verb|E0417690|yes
de-generalisation|noun|E0737402|de-generalize|verb|E0737401|yes
ischaemisation|noun|E0528363|ischaemize|verb|E0528364|yes
pseudostabilisation|noun|E0620808|pseudostabilize|verb|E0726473|yes
alkalinisation|noun|E0008069|alkalinize|verb|E0440003|yes
sub-functionalisation|noun|E0610865|sub-functionalize|verb|E0610866|yes
exteriorisation|noun|E0026873|exteriorize|verb|E0026874|yes
acetylisation|noun|E0006835|acetylize|verb|E0218294|yes
invalidisation|noun|E0574047|invalidize|verb|E0574048|yes
tenotomisation|noun|E0585572|tenotomize|verb|E0060235|yes
exonisation|noun|E0741375|exonize|verb|E0741376|yes
co-polymerisation|noun|E0417781|co-polymerize|verb|E0417782|yes
cross-sensitisation|noun|E0576752|cross-sensitize|verb|E0576753|yes
traditionalisation|noun|E0540280|traditionalize|verb|E0540277|yes
suborganisation|noun|E0611144|suborganize|verb|E0611145|yes
acclimatisation|noun|E0006731|acclimatize|verb|E0006732|yes
prenormalisation|noun|E0729071|prenormalize|verb|E0729072|yes
subsensitisation|noun|E0609150|subsensitize|verb|E0609151|yes
pseudo-randomisation|noun|E0551661|pseudo-randomize|verb|E0551660|yes
iarovisation|noun|E0724428|iarovize|verb|E0540190|yes
indigenisation|noun|E0538584|indigenize|verb|E0538583|yes
post-polymerisation|noun|E0612938|post-polymerize|verb|E0614136|yes
enolisation|noun|E0318072|enolize|verb|E0231449|yes
demilitarisation|noun|E0021484|demilitarize|verb|E0021485|yes
rerandomisation|noun|E0574244|rerandomize|verb|E0574243|yes
subcompartmentalisation|noun|E0332061|subcompartmentalize|verb|E0332062|yes
recannulisation|noun|E0737123|recannulize|verb|E0737122|yes
phoneticisation|noun|E0540298|phoneticize|verb|E0540297|yes
cyclo-trimerisation|noun|E0656812|cyclo-trimerize|verb|E0656813|yes
homopolymerisation|noun|E0227681|homopolymerize|verb|E0227680|yes
synthetisation|noun|E0585712|synthetize|verb|E0312616|yes
recircularisation|noun|E0568609|recircularize|verb|E0568608|yes
minimisation|noun|E0218408|minimize|verb|E0040382|yes
hemolysation|noun|E0031228|hemolyze|verb|E0031229|yes
adrenalectomisation|noun|E0588278|adrenalectomize|verb|E0007470|yes
polarisation|noun|E0048604|polarize|verb|E0048605|yes
neurosensitisation|noun|E0318271|neurosensitize|verb|E0613836|yes
personalisation|noun|E0046934|personalize|verb|E0046935|yes
depressurisation|noun|E0415848|depressurize|verb|E0415847|yes
biomineralisation|noun|E0233002|biomineralize|verb|E0233001|yes
microcatheterisation|noun|E0417889|microcatheterize|verb|E0417890|yes
chloroformisation|noun|E0016540|chloroformize|verb|E0016541|yes
mythicisation|noun|E0540302|mythicize|verb|E0540301|yes
avascularisation|noun|E0566091|avascularize|verb|E0566090|yes
signalisation|noun|E0232114|signalize|verb|E0055890|yes
nationalisation|noun|E0041970|nationalize|verb|E0041971|yes
tetanisation|noun|E0060374|tetanize|verb|E0060375|yes
oligomerisation|noun|E0218409|oligomerize|verb|E0316880|yes
metallisation|noun|E0039821|metallize|verb|E0039822|yes
cosolubilisation|noun|E0333389|cosolubilize|verb|E0333388|yes
medialisation|noun|E0336925|medialize|verb|E0336926|yes
devalorisation|noun|E0585888|devalorize|verb|E0588188|yes
trivialisation|noun|E0562993|trivialize|verb|E0062275|yes
deenergisation|noun|E0232094|deenergize|verb|E0333516|yes
economisation|noun|E0585571|economize|verb|E0024430|yes
negativisation|noun|E0539325|negativize|verb|E0539326|yes
suburbanisation|noun|E0205370|suburbanize|verb|E0538875|yes
pre-dimerisation|noun|E0619324|pre-dimerize|verb|E0724798|yes
heterodimerisation|noun|E0331285|heterodimerize|verb|E0331284|yes
re-standardisation|noun|E0227028|re-standardize|verb|E0227027|yes
reimmunisation|noun|E0312375|reimmunize|verb|E0312374|yes
climatisation|noun|E0514125|climatize|verb|E0514126|yes
pre-utilisation|noun|E0621811|pre-utilize|verb|E0621812|yes
remineralisation|noun|E0052678|remineralize|verb|E0052679|yes
desensitisation|noun|E0021997|desensitize|verb|E0021998|yes
galvanisation|noun|E0029215|galvanize|verb|E0029216|yes
super-colonisation|noun|E0617589|super-colonize|verb|E0734885|yes
reinternalisation|noun|E0338466|reinternalize|verb|E0338467|yes
racialisation|noun|E0232037|racialize|verb|E0232036|yes
digitilisation|noun|E0022727|digitilize|verb|E0318167|yes
Coumadinisation|noun|E0730150|Coumadinize|verb|E0730149|yes
metalisation|noun|E0039821|metalize|verb|E0039822|yes
chromisation|noun|E0538890|chromize|verb|E0538889|yes
vapourisation|noun|E0064001|vapourize|verb|E0064002|yes
unitisation|noun|E0538824|unitize|verb|E0538823|yes
de-proteinisation|noun|E0021873|de-proteinize|verb|E0021874|yes
electrocauterisation|noun|E0204006|electrocauterize|verb|E0204007|yes
neutralisation|noun|E0042552|neutralize|verb|E0042553|yes
trypsinisation|noun|E0062426|trypsinize|verb|E0062427|yes
re-colonisation|noun|E0417826|re-colonize|verb|E0312328|yes
pre-hyperpolarisation|noun|E0619223|pre-hyperpolarize|verb|E0619224|yes
autooxidisation|noun|E0439823|autooxidize|verb|E0011381|yes
catastrophisation|noun|E0235789|catastrophize|verb|E0235788|yes
juvenilisation|noun|E0538209|juvenilize|verb|E0538208|yes
polymerisation|noun|E0048770|polymerize|verb|E0048771|yes
eroticisation|noun|E0026015|eroticize|verb|E0026016|yes
dorsalisation|noun|E0318231|dorsalize|verb|E0318232|yes
cellularisation|noun|E0318136|cellularize|verb|E0605270|yes
pyritisation|noun|E0541059|pyritize|verb|E0541058|yes
missionisation|noun|E0605507|missionize|verb|E0605508|yes
hypersensitisation|noun|E0415992|hypersensitize|verb|E0415991|yes
sexualisation|noun|E0318330|sexualize|verb|E0318331|yes
de-endothelisation|noun|E0568700|de-endothelize|verb|E0568699|yes
subjectivisation|noun|E0574123|subjectivize|verb|E0574124|yes
hyperbolisation|noun|E0585521|hyperbolize|verb|E0585520|yes
re-organisation|noun|E0052779|re-organize|verb|E0052780|yes
reflecterisation|noun|E0540218|reflecterize|verb|E0540217|yes
phosphorisation|noun|E0572961|phosphorize|verb|E0572960|yes
externalisation|noun|E0026878|externalize|verb|E0026879|yes
bureaucratisation|noun|E0318217|bureaucratize|verb|E0231968|yes
auto-oxidisation|noun|E0439823|auto-oxidize|verb|E0011381|yes
deglycerolisation|noun|E0503783|deglycerolize|verb|E0503782|yes
vowelisation|noun|E0538922|vowelize|verb|E0538921|yes
incentivisation|noun|E0607648|incentivize|verb|E0538443|yes
anaesthetisation|noun|E0008771|anaesthetize|verb|E0008772|yes
under-utilisation|noun|E0312770|under-utilize|verb|E0312769|yes
oestrogenisation|noun|E0026220|oestrogenize|verb|E0026221|yes
mutualisation|noun|E0585643|mutualize|verb|E0585644|yes
metabolisation|noun|E0039793|metabolize|verb|E0039794|yes
diphthongisation|noun|E0538888|diphthongize|verb|E0538887|yes
organisation|noun|E0044162|organize|verb|E0044165|yes
sub-randomisation|noun|E0620581|sub-randomize|verb|E0725743|yes
vacuumisation|noun|E0585880|vacuumize|verb|E0585881|yes
verticalisation|noun|E0574045|verticalize|verb|E0574046|yes
metropolitanisation|noun|E0585628|metropolitanize|verb|E0541036|yes
cross polarisation|noun|E0581393|cross polarize|verb|E0581394|yes
mineralisation|noun|E0040355|mineralize|verb|E0040356|yes
axotomisation|noun|E0011528|axotomize|verb|E0011529|yes
internationalisation|noun|E0035176|internationalize|verb|E0035177|yes
hydrophobisation|noun|E0563357|hydrophobize|verb|E0563355|yes
repolymerisation|noun|E0235070|repolymerize|verb|E0235069|yes
urbanisation|noun|E0063508|urbanize|verb|E0063509|yes
post-optimisation|noun|E0622379|post-optimize|verb|E0622380|yes
radicalisation|noun|E0538841|radicalize|verb|E0538840|yes
supersensitisation|noun|E0318149|supersensitize|verb|E0235793|yes
recontextualisation|noun|E0538554|recontextualize|verb|E0538553|yes
extraperitonisation|noun|E0609542|extraperitonize|verb|E0609543|yes
standardisation|noun|E0057621|standardize|verb|E0057622|yes
emotionalisation|noun|E0540315|emotionalize|verb|E0540314|yes
localisation|noun|E0037918|localize|verb|E0037919|yes
resynchronisation|noun|E0233607|resynchronize|verb|E0233608|yes
customisation|noun|E0318140|customize|verb|E0071777|yes
allergisation|noun|E0008128|allergize|verb|E0008129|yes
clusterisation|noun|E0574245|clusterize|verb|E0574246|yes
italianisation|noun|E0538999|italianize|verb|E0538998|yes
varicellisation|noun|E0064024|varicellize|verb|E0064025|yes
retraumatisation|noun|E0338423|retraumatize|verb|E0338424|yes
socialisation|noun|E0056512|socialize|verb|E0056513|yes
lyophilisation|noun|E0400072|lyophilize|verb|E0038435|yes
de-normalisation|noun|E0728924|de-normalize|verb|E0728925|yes
plasticisation|noun|E0312174|plasticize|verb|E0218310|yes
discretisation|noun|E0232097|discretize|verb|E0333982|yes
fistulisation|noun|E0028017|fistulize|verb|E0334141|yes
radialisation|noun|E0500795|radialize|verb|E0500794|yes
röntgenisation|noun|E0585634|röntgenize|verb|E0585635|yes
symmetrisation|noun|E0232011|symmetrize|verb|E0232010|yes
pelletisation|noun|E0312127|pelletize|verb|E0312126|yes
deamidisation|noun|E0020906|deamidize|verb|E0020907|yes
estrogenisation|noun|E0026220|estrogenize|verb|E0026221|yes
hyperemisation|noun|E0032676|hyperemize|verb|E0599137|yes
homodimerisation|noun|E0428965|homodimerize|verb|E0428966|yes
mono-sensitisation|noun|E0568326|mono-sensitize|verb|E0568325|yes
factorisation|noun|E0232100|factorize|verb|E0027152|yes
crystallisation|noun|E0020031|crystallize|verb|E0020032|yes
prelocalisation|noun|E0049705|prelocalize|verb|E0588490|yes
endothelialisation|noun|E0025326|endothelialize|verb|E0025327|yes
ritualisation|noun|E0312524|ritualize|verb|E0312523|yes
globalisation|noun|E0428464|globalize|verb|E0428465|yes
hydridisation|noun|E0569204|hydridize|verb|E0569203|yes
co-solubilisation|noun|E0333389|co-solubilize|verb|E0333388|yes
refunctionalisation|noun|E0604831|refunctionalize|verb|E0604830|yes
summarisation|noun|E0222837|summarize|verb|E0058959|yes
formalisation|noun|E0417850|formalize|verb|E0028586|yes
virilisation|noun|E0064681|virilize|verb|E0064682|yes
self-ionisation|noun|E0588796|self-ionize|verb|E0588797|yes
recurarisation|noun|E0538675|recurarize|verb|E0538672|yes
deprofessionalisation|noun|E0605237|deprofessionalize|verb|E0605238|yes
revascularisation|noun|E0053313|revascularize|verb|E0312519|yes
delethalisation|noun|E0585955|delethalize|verb|E0538725|yes
self-organisation|noun|E0530048|self-organize|verb|E0530047|yes
Islamisation|noun|E0538886|Islamize|verb|E0538885|yes
preutilisation|noun|E0621811|preutilize|verb|E0621812|yes
carbonisation|noun|E0015169|carbonize|verb|E0015170|yes
re-contextualisation|noun|E0538554|re-contextualize|verb|E0538553|yes
fraternisation|noun|E0028752|fraternize|verb|E0028753|yes
alkalisation|noun|E0354110|alkalize|verb|E0008070|yes
polyploidisation|noun|E0417688|polyploidize|verb|E0538548|yes
synchronisation|noun|E0059568|synchronize|verb|E0059569|yes
deproteinisation|noun|E0021873|deproteinize|verb|E0021874|yes
defeminisation|noun|E0425572|defeminize|verb|E0425571|yes
peptisation|noun|E0535610|peptize|verb|E0535611|yes
analysation|noun|E0552818|analyze|verb|E0008797|yes
securitisation|noun|E0547196|securitize|verb|E0547195|yes
defunctionalisation|noun|E0318223|defunctionalize|verb|E0333528|yes
temporisation|noun|E0318187|temporize|verb|E0060164|yes
Hellenisation|noun|E0540231|Hellenize|verb|E0540225|yes
re-catheterisation|noun|E0312320|re-catheterize|verb|E0218314|yes
prehospitalisation|noun|E0574232|prehospitalize|verb|E0574234|yes
Lyonisation|noun|E0237675|Lyonize|verb|E0237676|yes
recellularisation|noun|E0605451|recellularize|verb|E0605453|yes
erotisation|noun|E0026018|erotize|verb|E0026019|yes
immunoneutralisation|noun|E0417654|immunoneutralize|verb|E0417655|yes
rhythmisation|noun|E0538945|rhythmize|verb|E0538944|yes
communalisation|noun|E0585875|communalize|verb|E0585876|yes
prenebulisation|noun|E0621931|prenebulize|verb|E0621932|yes
spiritualisation|noun|E0057224|spiritualize|verb|E0057225|yes
partialisation|noun|E0538879|partialize|verb|E0538878|yes
coimmunisation|noun|E0511192|coimmunize|verb|E0511193|yes
multi-colonisation|noun|E0615543|multi-colonize|verb|E0726150|yes
cancerisation|noun|E0424187|cancerize|verb|E0424188|yes
anteriorisation|noun|E0232091|anteriorize|verb|E0332530|yes
politzerisation|noun|E0067979|politzerize|verb|E0067980|yes
cycloisomerisation|noun|E0573263|cycloisomerize|verb|E0573262|yes
muscularisation|noun|E0432344|muscularize|verb|E0041430|yes
reflectorisation|noun|E0540218|reflectorize|verb|E0540217|yes
re-randomisation|noun|E0574244|re-randomize|verb|E0574243|yes
popularisation|noun|E0048952|popularize|verb|E0048953|yes
intellectualisation|noun|E0034936|intellectualize|verb|E0034937|yes
sham-immunisation|noun|E0568323|sham-immunize|verb|E0568322|yes
rhematisation|noun|E0349678|rhematize|verb|E0349677|yes
subvocalisation|noun|E0225542|subvocalize|verb|E0225543|yes
co-hybridisation|noun|E0424818|co-hybridize|verb|E0424819|yes
scrutinisation|noun|E0318329|scrutinize|verb|E0054809|yes
desialisation|noun|E0568708|desialize|verb|E0568707|yes
labialisation|noun|E0359334|labialize|verb|E0359333|yes
valorisation|noun|E0227679|valorize|verb|E0227678|yes
sulphatisation|noun|E0540293|sulphatize|verb|E0540292|yes
categorisation|noun|E0015586|categorize|verb|E0015587|yes
resolubilisation|noun|E0052988|resolubilize|verb|E0312497|yes
